,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,iso2Code,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,WB
244.0,SRB,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SRB,RS,Serbia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Belgrade,20.4656,44.8024,SRB
245.0,SSD,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SSD,SS,South Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Juba,31.6,4.85,SSD
246.0,STP,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,STP,ST,Sao Tome and Principe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Sao Tome,6.6071,0.20618,STP
247.0,SUR,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,SUR,SR,Suriname,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Paramaribo,-55.1679,5.8232,SUR
248.0,SVK,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVK,SK,Slovak Republic,Europe & Central Asia,,High income,Not classified,Bratislava,17.1073,48.1484,SVK
249.0,SVN,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVN,SI,Slovenia,Europe & Central Asia,,High income,Not classified,Ljubljana,14.5044,46.0546,SVN
250.0,SWE,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America,SWE,SE,Sweden,Europe & Central Asia,,High income,Not classified,Stockholm,18.0645,59.3327,SWE
251.0,SWZ,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SWZ,SZ,Eswatini,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Mbabane,31.4659,-26.5225,SWZ
252.0,SXM,Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean,SXM,SX,Sint Maarten (Dutch part),Latin America & Caribbean ,,High income,Not classified,Philipsburg,,,SXM
253.0,SYC,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SYC,SC,Seychelles,Sub-Saharan Africa ,,High income,IBRD,Victoria,55.4466,-4.6309,SYC
